stop_id,stop_name,stop_lat,stop_lon
RS_ACC1_S-1-0150,서울역,37.555870000,126.972100000
RS_ACC1_S-1-0151,시청,37.565710000,126.977120000
RS_ACC1_S-1-0152,종각,37.570160000,126.982920000
RS_ACC1_S-1-0153,종로3가,37.570420000,126.992110000
RS_ACC1_S-1-0154,종로5가,37.570930000,127.001850000
RS_ACC1_S-1-0155,동대문,37.571710000,127.010960000
RS_ACC1_S-1-0156,신설동,37.576010000,127.024460000
RS_ACC1_S-1-0157,제기동,37.578100000,127.034890000
RS_ACC1_S-1-0158,청량리,37.580110000,127.045040000
RS_ACC1_S-1-0159,동묘앞,37.573170000,127.016330000
RS_ACC1_S-1-0201,시청,37.563570000,126.975400000
RS_ACC1_S-1-0202,을지로입구,37.566010000,126.982620000
RS_ACC1_S-1-0203,을지로3가,37.566250000,126.990970000
RS_ACC1_S-1-0204,을지로4가,37.566600000,126.997650000
RS_ACC1_S-1-0205,동대문역사문화공원,37.565610000,127.009040000
RS_ACC1_S-1-0206,신당,37.565640000,127.019620000
RS_ACC1_S-1-0207,상왕십리,37.564350000,127.029350000
RS_ACC1_S-1-0208,왕십리,37.561200000,127.037700000
RS_ACC1_S-1-0209,한양대,37.555270000,127.043660000
RS_ACC1_S-1-0210,뚝섬,37.547180000,127.047370000
RS_ACC1_S-1-0211,성수,37.544580000,127.055960000
RS_ACC1_S-1-0212,건대입구,37.540390000,127.069190000
RS_ACC1_S-1-0213,구의,37.537080000,127.085920000
RS_ACC1_S-1-0214,강변,37.535100000,127.094680000
RS_ACC1_S-1-0215,잠실나루,37.520730000,127.103790000
RS_ACC1_S-1-0216,잠실,37.513290000,127.100160000
RS_ACC1_S-1-0217,잠실새내,37.511690000,127.086160000
RS_ACC1_S-1-0218,종합운동장,37.511050000,127.073670000
RS_ACC1_S-1-0219,삼성,37.508840000,127.063160000
RS_ACC1_S-1-0220,선릉,37.504480000,127.048880000
RS_ACC1_S-1-0221,역삼,37.500620000,127.036460000
RS_ACC1_S-1-0222,강남,37.497920000,127.027570000
RS_ACC1_S-1-0223,교대,37.493960000,127.014650000
RS_ACC1_S-1-0224,서초,37.491900000,127.007920000
RS_ACC1_S-1-0225,방배,37.481430000,126.997600000
RS_ACC1_S-1-0226,사당,37.476530000,126.981620000
RS_ACC1_S-1-0227,낙성대,37.476930000,126.963690000
RS_ACC1_S-1-0228,서울대입구,37.481250000,126.952740000
RS_ACC1_S-1-0229,봉천,37.482360000,126.941890000
RS_ACC1_S-1-0230,신림,37.484200000,126.929720000
RS_ACC1_S-1-0231,신대방,37.487460000,126.913150000
RS_ACC1_S-1-0232,구로디지털단지,37.485270000,126.901400000
RS_ACC1_S-1-0233,대림,37.493260000,126.894960000
RS_ACC1_S-1-0234,신도림,37.508660000,126.891350000
